기준일,시도,시군구,기관명,주소,"신청유형
(A: 외래진료, 
B: 외래진료 및 입원)",전화번호
2020년 04월 01일 00시,서울,서대문구,연세대학교신촌세브란스병원,서울특별시 서대문구 연세로 50-1,B,02-1599-1004
2020년 04월 01일 00시,서울,서대문구,동신병원,서울특별시 서대문구 연희로 272,A,02-396-9161
2020년 04월 01일 00시,서울,서초구,가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222,B,02-1588-1511
2020년 04월 01일 00시,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로222-1,B,02-2290-8114
2020년 04월 01일 00시,서울,성북구,고려대학교안암병원,서울특별시 성북구 인촌로 73,B,02-920-5114
2020년 04월 01일 00시,서울,성북구,서울척병원,서울특별시 성북구 동소문로47길 8 (길음동),A,1599-0033
2020년 04월 01일 00시,서울,성북구,성북우리아이들병원,서울특별시 성북구 동소문로46길10,A,02-912-0100
2020년 04월 01일 00시,서울,송파구,경찰병원,서울특별시 송파구 송이로123,A,02-3400-1114
2020년 04월 01일 00시,서울,송파구,한솔병원,서울특별시 송파구 송파대로 445,A,02-2147-6000
2020년 04월 01일 00시,서울,송파구,서울병원,서울특별시 송파구 오금로 290,A,02-405-8501
2020년 04월 01일 00시,서울,양천구,이화여자대학교목동병원,서울특별시 양천구 안양천로 1071,B,02-2650-5114
2020년 04월 01일 00시,서울,양천구,홍익병원,서울특별시 양천구 목동로 225,A,02-2693-5555
2020년 04월 01일 00시,서울,양천구,메디힐병원,서울특별시 양천구 남부순환로 331,A,02-2604-7551
2020년 04월 01일 00시,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,B,1661-7575
2020년 04월 01일 00시,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로1,B,02-829-5114
2020년 04월 01일 00시,서울,영등포구,성애병원,서울특별시 영등포구 여의대방로53길 22,A,1811-8114
2020년 04월 01일 00시,서울,영등포구,명지성모병원,서울특별시 영등포구 도림로 156,A,1899-1475
2020년 04월 01일 00시,서울,영등포구,영등포병원,서울특별시 영등포구 당산로3길10,A,02-2632-0013~8
2020년 04월 01일 00시,서울,영등포구,새길병원,서울특별시 영등포구 영중로 59,A,02-1522-0075
2020년 04월 01일 00시,서울,용산구,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59,B,02-709-9114
2020년 04월 01일 00시,서울,은평구,은평성모병원,서울특별시 은평구 통일로 1021,B,1811-7755
2020년 04월 01일 00시,서울,은평구,청구성심병원,서울특별시 은평구 통일로 873,A,02-353-5511~9
2020년 04월 01일 00시,서울,은평구,본서부병원,서울특별시 은평구 은평로 133,A,02-3156-5000
2020년 04월 01일 00시,서울,종로구,서울대학교병원,서울특별시 종로구 대학로101,B,02-1588-5700
2020년 04월 01일 00시,서울,종로구,강북삼성병원,서울특별시 종로구 새문안로29,B,02-2001-2001
2020년 04월 01일 00시,서울,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,A,02-2002-8000
2020년 04월 01일 00시,서울,종로구,세란병원,서울특별시 종로구 통일로 256,A,02-737-0181
2020년 04월 01일 00시,서울,중구,인제대학교 서울백병원,서울특별시 중구 마른내로9,A,02-2270-0114
2020년 04월 01일 00시,서울,중구,국립중앙의료원,서울특별시 중구 을지로 245,B,02-2260-7114
2020년 04월 01일 00시,서울,중랑구,동부제일병원,서울특별시 중랑구 망우로511,A,02-437-5011
2020년 04월 01일 00시,서울,중랑구,서울의료원,서울특별시 중랑구 신내로 156,B,02-2276-7000
2020년 04월 01일 00시,서울,중랑구,녹색병원,서울특별시 중랑구 사가정로 49길 53,A,02-490-2000
2020년 04월 01일 00시,부산,강서구,갑을녹산병원,부산광역시 강서구 녹산산단 321로 24-8,A,051-974-8300
2020년 04월 01일 00시,부산,금정구,세웅병원,부산광역시 금정구 서동로 162,A,051-500-9700
2020년 04월 01일 00시,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길40,A,051-720-5114
2020년 04월 01일 00시,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,A,051-723-0171
2020년 04월 01일 00시,부산,남구,부산성모병원,부산광역시 남구 용호로 232번길 25-14,A,051-933-7114
2020년 04월 01일 00시,부산,남구,부산고려병원,부산광역시 남구 수영로 238,A,051-930-3000
2020년 04월 01일 00시,부산,동구,일신기독병원,부산광역시 동구 정공단로 27,A,051-630-0300
2020년 04월 01일 00시,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401,A,051-664-4000
2020년 04월 01일 00시,부산,동구,좋은문화병원,부산광역시 동구 범일로119,A,051-644-2002
2020년 04월 01일 00시,부산,동래구,대동병원,부산광역시 동래구 충렬대로 187,B,051-554-1233
2020년 04월 01일 00시,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,A,051-503-2111
2020년 04월 01일 00시,부산,동래구,동래봉생병원,부산광역시 동래구 안연로 109번길 27,A,051-520-5500
2020년 04월 01일 00시,부산,동래구,부산우리들병원,부산광역시 동래구 중앙대로 1523,A,051-559-2000
2020년 04월 01일 00시,부산,북구,부민병원,부산광역시 북구 만덕대로59,A,051-330-3000
2020년 04월 01일 00시,부산,북구,구포성심병원,부산광역시 북구 낙동대로1786,A,051-333-2001
2020년 04월 01일 00시,부산,북구,화명일신기독병원,부산광역시 북구 금곡대로 264,A,051-363-0387
2020년 04월 01일 00시,부산,사상구,좋은삼선병원,부산광역시 사상구 가야대로326,A,051-322-0900
2020년 04월 01일 00시,부산,사상구,서부산센텀병원,부산광역시 사상구 새벽로 226,A,1644-5530 
2020년 04월 01일 00시,부산,서구,부산대학교병원,부산광역시 서구 구덕로 179,B,051-240-7000
2020년 04월 01일 00시,부산,서구,삼육부산병원,부산광역시 서구 대티로170,A,051-242-9751
2020년 04월 01일 00시,부산,서구,동아대학교병원,부산광역시 서구 대신공원로 26,B,051-240-2000
2020년 04월 01일 00시,부산,수영구,BHS한서병원,부산광역시 수영구 수영로 615,A,051-756-0081
2020년 04월 01일 00시,부산,수영구,좋은강안병원,부산광역시 수영구 수영로493,A,051-625-0900
2020년 04월 01일 00시,부산,수영구,부산센텀병원,부산광역시 수영구 수영로 677,A,051-750-5000
2020년 04월 01일 00시,부산,연제구,한양류마디병원,부산광역시 연제구 과정로272(연산동),A,051-752-1990
2020년 04월 01일 00시,부산,영도구,해동병원,부산광역시 영도구 태종로133,A,051-412-6161
2020년 04월 01일 00시,부산,영도구,영도병원,부산광역시 영도구 태종로85,A,051-412-8881
2020년 04월 01일 00시,부산,영도구,에스병원,부산광역시 영도구 동삼로 55-1,A,051-412-7000
2020년 04월 01일 00시,부산,진구,온종합병원,부산광역시 진구 가야대로 721,A,051-607-0114
2020년 04월 01일 00시,부산,진구,오성병원,부산광역시 진구 중앙대로 910,A,051-850-0800
2020년 04월 01일 00시,부산,해운대구,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875,B,051-797-0100
2020년 04월 01일 00시,부산,해운대구,해운대부민병원,부산광역시 해운대구 해운대로584,B,051-602-8000
2020년 04월 01일 00시,부산,해운대구,효성시티병원,부산광역시 해운대구 해운대로 135,A,051-709-3000
2020년 04월 01일 00시,인천,강화군,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,A,032-290-0001
2020년 04월 01일 00시,인천,계양구,한림병원,인천광역시 계양구 장제로722,B,032-540-9114
2020년 04월 01일 00시,인천,계양구,메디플렉스 세종병원,인천광역시 계양구 계양문화로20,B,032-240-8000
2020년 04월 01일 00시,인천,계양구,더드림병원,인천광역시 계양구 계양대로 123,A,032-282-7575
2020년 04월 01일 00시,인천,남동구,길병원,인천광역시 남동구 남동대로 774번길 21,B,032-460-3114
2020년 04월 01일 00시,인천,동구,인천광역시의료원,인천광역시 동구 방축로 217,A,032-580-6000
2020년 04월 01일 00시,인천,동구,인천백병원,인천광역시 동구 샛골로 214,A,032-765-7070
2020년 04월 01일 00시,인천,미추홀구,인천사랑병원,인천광역시 미추홀구 미추홀대로 726,A,032-457-2000
2020년 04월 01일 00시,인천,미추홀구,현대유비스병원,인천광역시 미추홀구 독배로503,A,032-888-7575
2020년 04월 01일 00시,인천,미추홀구,나누리병원,인천광역시 미추홀구 인주대로 485,A,1688-9797
2020년 04월 01일 00시,인천,미추홀구,성모윌병원,인천광역시 미추홀구 경인로 488,A,032-421-0075
2020년 04월 01일 00시,인천,부평구,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56,B,032-1544-9004
2020년 04월 01일 00시,인천,부평구,부평세림병원,인천광역시 부평구 부평대로 175,A,032-524-0591
2020년 04월 01일 00시,인천,부평구,한길안과병원,인천광역시 부평구 부평대로 35,A,032-503-3322
2020년 04월 01일 00시,인천,부평구,나누리병원,인천광역시 부평구 장제로 156,A,1688-9797
2020년 04월 01일 00시,인천,서구,뉴성민병원,인천광역시 서구 신석로 70,A,032-726-1000
2020년 04월 01일 00시,인천,서구,나은병원,인천광역시 서구 원적로23,B,032-584-0114
2020년 04월 01일 00시,인천,서구,검단탑병원,인천광역시 서구 청마로19번길5,B,032-590-0114
2020년 04월 01일 00시,인천,서구,온누리병원,인천광역시 서구 완정로 119,A,032-567-6200
2020년 04월 01일 00시,인천,서구,가톨릭관동대학교 국제성모병원,인천광역시 서구  심곡로100번길 25,B,1600-8291 
2020년 04월 01일 00시,인천,연수구,나사렛국제병원,인천광역시 연수구 먼우금로 98,B,032-899-9999
2020년 04월 01일 00시,인천,연수구,인천적십자병원,인천광역시 연수구 원인재로263,A,032-899-4000
2020년 04월 01일 00시,인천,중구,인천기독병원,인천광역시 중구 답동로30번길10,A,032-270-8000
2020년 04월 01일 00시,인천,중구,인하대학교병원,인천광역시 중구 인항로 27,B,032-890-2114
2020년 04월 01일 00시,대구,남구,영남대학교병원,대구광역시 남구 현충로 170,A,053-623-8001
2020년 04월 01일 00시,대구,남구,드림병원,대구광역시 남구 대명로 153,B,053-640-8800
2020년 04월 01일 00시,대구,달서구,구병원,대구광역시 달서구 감삼북길 141,A,053-560-9114
2020년 04월 01일 00시,대구,달서구,삼일병원,대구광역시 달서구 월배로 446,B,053-659-3100
2020년 04월 01일 00시,대구,달서구,W병원,대구광역시 달서구 달구벌대로 1632,A,053-550-5000
2020년 04월 01일 00시,대구,달서구,나사렛종합병원,대구광역시 달서구 월배로97,A,053-643-1400
2020년 04월 01일 00시,대구,달서구,대구보광병원,대구광역시 달서구 구마로 128,A,053-651-3232
2020년 04월 01일 00시,대구,달서구,참조은병원,대구광역시 달서구 월배로 404,A,053-630-8000 
2020년 04월 01일 00시,대구,달서구,세강병원,대구광역시 달서구 구마로 220,A,053-620-6248
2020년 04월 01일 00시,대구,동구,대구파티마병원,대구광역시 동구 아양로99,B,053-1688-7770
2020년 04월 01일 00시,대구,북구,대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로440,A,053-320-2500
2020년 04월 01일 00시,대구,서구,서대구병원,대구광역시 서구 국채보상로 200,A,053-558-5800
2020년 04월 01일 00시,대구,수성구,천주성삼병원,대구광역시 수성구 달구벌대로 3190,A,053-790-1000
2020년 04월 01일 00시,대구,중구,경북대학교병원,대구광역시 중구 동덕로 130,A,053-420-5114
2020년 04월 01일 00시,대구,중구,곽병원,대구광역시 중구 국채보상로 531,A,053-252-2401
2020년 04월 01일 00시,대구,중구,광개토병원,대구광역시 중구 중앙대로 366,A,053-565-1190
2020년 04월 01일 00시,대구,중구,푸른병원,대구광역시 중구 태평로 102,A,053-471-2800
2020년 04월 01일 00시,대구,중구,우리들병원,대구광역시 중구 국채보상로 648,A,053-212-3000
2020년 04월 01일 00시,광주,광산구,첨단종합병원,광주광역시 광산구 첨단중앙로 170번길 59,A,062-601-8114
2020년 04월 01일 00시,광주,광산구,KS병원,광주광역시 광산구 왕버들로 220,A,062-975-9000
2020년 04월 01일 00시,광주,남구,광주기독병원,광주광역시 남구 양림로 37,B,062-650-5000
2020년 04월 01일 00시,광주,동구,전남대학교병원,광주광역시 동구 제봉로42,B,1899-0000
2020년 04월 01일 00시,광주,서구,서광병원,광주광역시 서구 금화로 59번길6,A,062-600-8000
2020년 04월 01일 00시,대전,동구,대전한국병원,대전광역시 동구 동서대로1672,A,042-606-1000
2020년 04월 01일 00시,대전,서구,대전을지대학교병원,대전광역시 서구 둔산서로95,B,042-259-1000
2020년 04월 01일 00시,대전,서구,건양대학교병원,대전광역시 서구 가수원동 관저동로 158,B,1577-3330
2020년 04월 01일 00시,대전,유성구,유성선병원,대전광역시 유성구 북유성대로93,A,042-1588-7011
2020년 04월 01일 00시,대전,중구,가톨릭대학교 대전성모병원,대전광역시 중구 대흥로64,B,042-220-9114
2020년 04월 01일 00시,대전,중구,대전선병원,대전광역시 중구 목중로29,B,042-220-8114
2020년 04월 01일 00시,울산,남구,울산병원,울산광역시 남구 월평로171번길 13,A,052-259-5000
2020년 04월 01일 00시,울산,남구,좋은삼정병원,울산광역시 남구 북부순환도로 51,A,052-220-7500
2020년 04월 01일 00시,울산,남구,중앙병원,울산광역시 남구 문수로 480번길 10,A,052-226-1100
2020년 04월 01일 00시,울산,남구,울산보람병원,울산광역시 남구 돋질로336번길 10,A,052-278-0114
2020년 04월 01일 00시,울산,동구,울산대학교병원,울산광역시 동구 방어진순환도로877,B,052-250-7000
2020년 04월 01일 00시,울산,북구,울산시티병원,울산광역시 북구 산업로1007,A,052-280-9000
2020년 04월 01일 00시,울산,북구,21세기좋은병원,울산광역시 북구 호계로 285,A,052-290-2100
2020년 04월 01일 00시,울산,울주군,서울산보람병원,울산광역시 울주군 삼남면 중평로 53,A,052-255-7114
2020년 04월 01일 00시,울산,중구,동강병원,울산광역시 중구 태화로 239,A,052-241-1114
2020년 04월 01일 00시,세종,,엔케이세종병원,세종특별자치시 한누리대로 161,A,044-850-7700 
2020년 04월 01일 00시,경기,고양시 덕양구,명지병원,경기도 고양시 덕양구 화수로 14번길 55,B,031-810-5114
2020년 04월 01일 00시,경기,고양시 덕양구,자인메디병원,경기도 고양시 덕양구 덕양구 중앙로555,A,031-930-3114
2020년 04월 01일 00시,경기,고양시 일산동구,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로100,B,031-900-0114
2020년 04월 01일 00시,경기,고양시 일산동구,국립암센터,경기도 고양시 일산동구 일산로323,A,031-920-0001
2020년 04월 01일 00시,경기,고양시 일산동구,동국대학교 일산불교병원,경기도 고양시 일산동구 동국로27,B,031-961-7000
2020년 04월 01일 00시,경기,고양시 일산동구,일산차병원,경기도 고양시 일산동구 중앙로 1205,A,031-782-8300
2020년 04월 01일 00시,경기,고양시 일산동구,일산복음의료재단,경기도 고양시 일산동구 고양대로 760,A,031-977-5000
2020년 04월 01일 00시,경기,고양시 일산서구,인제대학교 일산백병원,경기도 고양시 일산서구 주화로170,B,031-910-7511
2020년 04월 01일 00시,경기,광명시,광명성애병원,경기도 광명시 디지털로 36,A,02-2680-7114
2020년 04월 01일 00시,경기,광주시,참조은병원,경기도 광주시 광주대로45,A,031-767-7575
2020년 04월 01일 00시,경기,광주시,더플러스병원,경기도 광주시 경안로40,A,031-763-7582
2020년 04월 01일 00시,경기,구리시,한양대학교구리병원,경기도 구리시 경춘로153,B,031-560-2114
2020년 04월 01일 00시,경기,군포시,원광대학교의과대학산본병원,경기도 군포시 산본로 321,A,031-390-2300
2020년 04월 01일 00시,경기,군포시,지샘병원,경기도 군포시 군포로 591,A,031-389-3000
2020년 04월 01일 00시,경기,김포시,김포우리병원,경기도 김포시 감암로11,B,031-999-1000
2020년 04월 01일 00시,경기,김포시,뉴고려병원,경기도 김포시 김포한강3로283,B,031-980-9114
2020년 04월 01일 00시,경기,김포시,히즈메디병원,경기도 김포시 김포대로 681,A,1588-0223
2020년 04월 01일 00시,경기,남양주시,남양주한양병원,경기도 남양주시 오남읍 양지로47-55,B,031-510-0114
2020년 04월 01일 00시,경기,남양주시,중앙대의료원교육협력현대병원,경기도 남양주시 진접읍 봉현로21,B,031-574-9119
2020년 04월 01일 00시,경기,남양주시,베리굿병원,경기도 남양주시 별내5로5번길5,A,031-567-8585
2020년 04월 01일 00시,경기,부천시,세종병원,경기도 부천시 호현로489번길 28,B,1599-6677
2020년 04월 01일 00시,경기,부천시,가톨릭대학교 부천성모병원,경기도 부천시 소사로327,B,032-1577-0675
2020년 04월 01일 00시,경기,부천시,순천향대학교부속부천병원,경기도 부천시 조마루로170,B,032-621-5114
2020년 04월 01일 00시,경기,부천시,다니엘종합병원,경기도 부천시 중동로 361,A,032-670-0001
2020년 04월 01일 00시,경기,부천시,예손병원,경기도 부천시 부천로 206,A,1666-7582
2020년 04월 01일 00시,경기,부천시,부천우리병원,경기도 부천시 원종동 277-14,A,032-672-4100
2020년 04월 01일 00시,경기,성남시 분당구,차의과학대학교분당차병원,경기도 성남시 분당구 야탑로 59,A,1577-4488 
2020년 04월 01일 00시,경기,성남시 분당구,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82,B,031-1588-3369
2020년 04월 01일 00시,경기,성남시 분당구,바른세상병원,경기도 성남시 분당구 야탑로 75번길 5,A,1577-3175
2020년 04월 01일 00시,경기,성남시 분당구,분당척병원,경기도 성남시 분당구 성남대로932,A,1599-7500
2020년 04월 01일 00시,경기,성남시 분당구,서울나우병원,경기도 성남시 분당구 분당로 43,A,031-788-5600
2020년 04월 01일 00시,경기,성남시 수정구,정병원,경기도 성남시 수정구 수정로 76,B,031-750-6000
2020년 04월 01일 00시,경기,성남시 수정구,지우병원,경기도 성남시 수정구 수정로 183,A,1544-6686
2020년 04월 01일 00시,경기,성남시 중원구,바른마디병원,경기도 성남시 중원구  광명로 330,A,031-735-9110
2020년 04월 01일 00시,경기,수원시 권선구,제이에스병원,"경기도 수원시 권선구 금곡로196번길, 76",A,1800-5446
2020년 04월 01일 00시,경기,수원시 영통구,아주대학교병원,경기도 수원시 영통구 월드컵로 164,B,031-1688-6114
2020년 04월 01일 00시,경기,수원시 영통구,나누리수원병원,경기도 수원시 영통구 중부대로 295,A,1688-9797
2020년 04월 01일 00시,경기,수원시 팔달구,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93,B,1577-8588
2020년 04월 01일 00시,경기,수원시 팔달구,동수원병원,경기도 수원시 팔달구 중부대로 165,A,031-210-0114
2020년 04월 01일 00시,경기,수원시 팔달구,이춘택병원,경기도 수원시 팔달구 팔달구 매산로138,A,1588-2927
2020년 04월 01일 00시,경기,수원시 팔달구,윌스기념병원,경기도 수원시 팔달구 경수대로 437,A,031-223-2233
2020년 04월 01일 00시,경기,시흥시,신천연합병원,경기도 시흥시 복지로 57,A,031-310-6300
2020년 04월 01일 00시,경기,시흥시,센트럴병원,경기도 시흥시 공단1대로237,A,031-8041-3854
2020년 04월 01일 00시,경기,시흥시,시화병원,경기도 시흥시 옥구천서로337,A,031-432-2600
2020년 04월 01일 00시,경기,안산시,근로복지공단안산병원,경기도 안산시 구룡로 87,A,031-500-1114
2020년 04월 01일 00시,경기,안산시 단원구,고려대학교안산병원,경기도 안산시 단원구 적금로 123,B,031-412-5114
2020년 04월 01일 00시,경기,안산시 단원구,단원병원,경기도 안산시 단원구 원포공원1로 20,A,031-8040-6600
2020년 04월 01일 00시,경기,안산시 단원구,온누리병원,경기도 안산시 단원구 선부로 201,A,031-412-2200
2020년 04월 01일 00시,경기,안산시 상록구,사랑의병원,경기도 안산시 상록구 예술광장로 69,A,031-439-3000
2020년 04월 01일 00시,경기,안성시,안성성모병원,경기도 안성시 시장길58,A,031-675-6007
2020년 04월 01일 00시,경기,안양시 동안구,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,B,031-380-1500
2020년 04월 01일 00시,경기,안양시 동안구,안양윌스기념병원,경기도 안양시 동안구 경수대로 560,A,031-460-1114
2020년 04월 01일 00시,경기,안양시 만안구,안양샘병원,경기도 안양시 만안구 삼덕로 9,A,031-467-9114
2020년 04월 01일 00시,경기,여주시,연세새로운병원,경기도 여주시 영릉로 22,A,031-885-7582
2020년 04월 01일 00시,경기,여주시,세종여주병원,경기도 여주시 청심로 39,B,031-880-7700
2020년 04월 01일 00시,경기,오산시,오산한국병원,경기도 오산시 밀머리로 1번길 16,B,1566-3534
2020년 04월 01일 00시,경기,오산시,조은오산병원,경기도 오산시 오산로 307,A,1544-5355
2020년 04월 01일 00시,경기,용인시 기흥구,연세대학교 용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363,B,1899-1004
2020년 04월 01일 00시,경기,용인시 기흥구,강남병원,경기도 용인시 기흥구 중부대로411,B,031-300-0114
2020년 04월 01일 00시,경기,용인시 처인구,다보스병원,경기도 용인시 처인구 처인구백옥대로1082번길 18,A,031-8021-2114
2020년 04월 01일 00시,경기,의정부시,가톨릭대학교 의정부성모병원,경기도 의정부시 천보로 271,B,031-1661-7500
2020년 04월 01일 00시,경기,의정부시,의정부백병원,경기도 의정부시 금신로 322,A,031-856-8111
2020년 04월 01일 00시,경기,의정부시,성베드로병원,경기도 의정부시 평화로622,A,031-840-1700
2020년 04월 01일 00시,경기,이천시,경기도의료원 이천병원,경기도 이천시 경충대로 2742 번길,B,031-630-4200
2020년 04월 01일 00시,경기,이천시,이천엘리야병원,경기도 이천시 장호원읍 서동대로 8793,A,1800-4275
2020년 04월 01일 00시,경기,파주시,메디인병원,경기도 파주시 시청로6,A,031-1566-1991
2020년 04월 01일 00시,경기,평택시,박애병원,경기도 평택시 평택2로20번길3,B,031-652-2121
2020년 04월 01일 00시,경기,평택시,평택굿모닝병원,경기도 평택시 중앙로338,B,031-659-7700
2020년 04월 01일 00시,경기,평택시,평택성모병원,경기도 평택시 평택로284,B,031-1800-8800
2020년 04월 01일 00시,경기,평택시,박병원,경기도 평택시 송탄로 33,B,031-666-2600
2020년 04월 01일 00시,경기,포천시,포천우리병원,경기도 포천시  소홀읍 호국로 661,A,031-542-0222
2020년 04월 01일 00시,경기,하남시,하남SD병원,경기도 하남시 덕풍공원로 41,A,031-793-2882
2020년 04월 01일 00시,경기,화성시,화성중앙종합병원,경기도 화성시 향남읍 발안로5,B,031-352-8114
2020년 04월 01일 00시,경기,화성시,한림대학교 동탄성심병원,경기도 화성시 큰재봉길7,B,031-8086-3000
2020년 04월 01일 00시,경기,화성시,원광종합병원,경기도 화성시 화산북로21,A,031-8077-7200
2020년 04월 01일 00시,경기,화성시,화성디에스병원,경기도 화성시 남양읍 시청로 160번길 46-13,B,1600-5982
2020년 04월 01일 00시,강원,강릉시,강릉고려병원,강원도 강릉시 옥가로 30,A,033-649-0100
2020년 04월 01일 00시,강원,강릉시,강릉아산병원,강원도 강릉시 사천면 방동길 38,B,033-610-3114
2020년 04월 01일 00시,강원,동해시,근로복지공단 동해병원,강원도 동해시 하평로 11,A,033-530-3100
2020년 04월 01일 00시,강원,속초시,속초보광병원,강원도 속초시 중앙로 11,A,033-639-8500
2020년 04월 01일 00시,강원,원주시,성지병원,강원도 원주시 원인로 22,A,033-760-3114
2020년 04월 01일 00시,강원,춘천시,한림대학교춘천성심병원,강원도 춘천시 삭주로77,A,033-240-5000
2020년 04월 01일 00시,강원,춘천시,강원대학교병원,강원도 춘천시 백령로156,B,033-258-2000
2020년 04월 01일 00시,강원,홍천군,홍천아산병원,강원도 홍천군 홍천읍 산림공원1길 17,A,033-430-5151
2020년 04월 01일 00시,충북,제천시,제천서울병원,충청북도 제천시 숭문로57,A,043-642-7606
2020년 04월 01일 00시,충북,제천시,제천명지병원,충청북도 제천시 내토로 991,A,043-640-8114
2020년 04월 01일 00시,충북,제천시,제천성지병원,충청북도 제천시 의림대로 284(청천동 39-1),A,1899-1188
2020년 04월 01일 00시,충북,진천군,진천성모병원,충청북도 진천군 진천읍 중앙북로24,A,043-533-1711
2020년 04월 01일 00시,충북,청주시 상당구,한국병원,충청북도 청주시 상당구 단재로106,A,043-222-7000
2020년 04월 01일 00시,충북,청주시 상당구,효성병원,충청북도 청주시 상당구 쇠내로 16,A,043-221-5000
